video,frame_idx,size_bytes
sample_1280x720_surfing_with_audio.flv.txt,1898,28337
sample_1280x720_surfing_with_audio.flv.txt,1910,28342
sample_1280x720_surfing_with_audio.flv.txt,1913,25512
sample_1280x720_surfing_with_audio.flv.txt,1925,25521
sample_1280x720_surfing_with_audio.flv.txt,1934,30380
sample_1280x720_surfing_with_audio.flv.txt,1946,30867
sample_1280x720_surfing_with_audio.flv.txt,1958,30844
sample_1280x720_surfing_with_audio.flv.txt,1970,31445
sample_1280x720_surfing_with_audio.flv.txt,1982,32151
sample_1280x720_surfing_with_audio.flv.txt,1994,32843
sample_1280x720_surfing_with_audio.flv.txt,2006,33633
sample_1280x720_surfing_with_audio.flv.txt,2014,29031
sample_1280x720_surfing_with_audio.flv.txt,2026,29380
sample_1280x720_surfing_with_audio.flv.txt,2038,29659
sample_1280x720_surfing_with_audio.flv.txt,2048,28380
sample_1280x720_surfing_with_audio.flv.txt,2060,28242
sample_1280x720_surfing_with_audio.flv.txt,2072,28238
sample_1280x720_surfing_with_audio.flv.txt,2082,27129
sample_1280x720_surfing_with_audio.flv.txt,2094,26763
sample_1280x720_surfing_with_audio.flv.txt,2100,26324
sample_1280x720_surfing_with_audio.flv.txt,2112,26318
sample_1280x720_surfing_with_audio.flv.txt,2124,26179
sample_1280x720_surfing_with_audio.flv.txt,2134,29636
sample_1280x720_surfing_with_audio.flv.txt,2146,28999
sample_1280x720_surfing_with_audio.flv.txt,2158,27993
sample_1280x720_surfing_with_audio.flv.txt,2170,26980
sample_1280x720_surfing_with_audio.flv.txt,2182,26246
sample_1280x720_surfing_with_audio.flv.txt,2194,26647
sample_1280x720_surfing_with_audio.flv.txt,2206,26319
sample_1280x720_surfing_with_audio.flv.txt,2216,27996
sample_1280x720_surfing_with_audio.flv.txt,2228,28200
sample_1280x720_surfing_with_audio.flv.txt,2236,27033
sample_1280x720_surfing_with_audio.flv.txt,2248,26833
sample_1280x720_surfing_with_audio.flv.txt,2260,26941
sample_1280x720_surfing_with_audio.flv.txt,2271,24636
sample_1280x720_surfing_with_audio.flv.txt,2283,24615
sample_1280x720_surfing_with_audio.flv.txt,2295,24590
sample_1280x720_surfing_with_audio.flv.txt,2307,24626
sample_1280x720_surfing_with_audio.flv.txt,2319,24650
sample_1280x720_surfing_with_audio.flv.txt,2331,24772
sample_1280x720_surfing_with_audio.flv.txt,2343,25227
sample_1280x720_surfing_with_audio.flv.txt,2355,25626
sample_1280x720_surfing_with_audio.flv.txt,2367,26153
sample_1280x720_surfing_with_audio.flv.txt,2371,29239
sample_1280x720_surfing_with_audio.flv.txt,2383,29854
sample_1280x720_surfing_with_audio.flv.txt,2395,32511
sample_1280x720_surfing_with_audio.flv.txt,2407,33679
sample_1280x720_surfing_with_audio.flv.txt,2419,35003
sample_1280x720_surfing_with_audio.flv.txt,2431,35599
sample_1280x720_surfing_with_audio.flv.txt,2443,33479
sample_1280x720_surfing_with_audio.flv.txt,2455,31948
sample_1280x720_surfing_with_audio.flv.txt,2467,34853
sample_1280x720_surfing_with_audio.flv.txt,2479,37355
sample_1280x720_surfing_with_audio.flv.txt,2491,38598
sample_1280x720_surfing_with_audio.flv.txt,2503,32518
sample_1280x720_surfing_with_audio.flv.txt,2508,25454
sample_1280x720_surfing_with_audio.flv.txt,2520,25578
sample_1280x720_surfing_with_audio.flv.txt,2532,25563
sample_1280x720_surfing_with_audio.flv.txt,2541,25767
