print meta info for videos/SampleVideo_720x480_10mb.mkv:
  duration time: 69.68 秒
  file size: 10.08 MB
  frame rate: 25.00 fps
  decoder: MPEG-4 part 2

帧类型与大小统计:
frame #238: size before decode=2663 bytes, size after decode=737280 bytes, type=P, timestamp=8.080 seconds
frame #239: size before decode=2997 bytes, size after decode=737280 bytes, type=P, timestamp=8.120 seconds
frame #240: size before decode=2942 bytes, size after decode=737280 bytes, type=P, timestamp=8.160 seconds
frame #241: size before decode=3073 bytes, size after decode=737280 bytes, type=P, timestamp=8.200 seconds
frame #242: size before decode=3159 bytes, size after decode=737280 bytes, type=P, timestamp=8.240 seconds
frame #243: size before decode=3049 bytes, size after decode=737280 bytes, type=P, timestamp=8.280 seconds
frame #244: size before decode=3071 bytes, size after decode=737280 bytes, type=P, timestamp=8.320 seconds
frame #245: size before decode=3379 bytes, size after decode=737280 bytes, type=P, timestamp=8.360 seconds
frame #246: size before decode=3232 bytes, size after decode=737280 bytes, type=P, timestamp=8.400 seconds
frame #247: size before decode=3435 bytes, size after decode=737280 bytes, type=P, timestamp=8.440 seconds
frame #248: size before decode=3357 bytes, size after decode=737280 bytes, type=P, timestamp=8.480 seconds
frame #249: size before decode=2594 bytes, size after decode=737280 bytes, type=P, timestamp=8.520 seconds
frame #250: size before decode=3974 bytes, size after decode=737280 bytes, type=P, timestamp=8.560 seconds
frame #251: size before decode=3759 bytes, size after decode=737280 bytes, type=P, timestamp=8.600 seconds
frame #252: size before decode=2714 bytes, size after decode=737280 bytes, type=P, timestamp=8.640 seconds
frame #253: size before decode=3691 bytes, size after decode=737280 bytes, type=P, timestamp=8.680 seconds
frame #254: size before decode=3148 bytes, size after decode=737280 bytes, type=P, timestamp=8.720 seconds
frame #255: size before decode=2764 bytes, size after decode=737280 bytes, type=P, timestamp=8.760 seconds
frame #256: size before decode=2897 bytes, size after decode=737280 bytes, type=P, timestamp=8.800 seconds
frame #257: size before decode=2664 bytes, size after decode=737280 bytes, type=P, timestamp=8.840 seconds
frame #258: size before decode=2474 bytes, size after decode=737280 bytes, type=P, timestamp=8.880 seconds
frame #259: size before decode=2457 bytes, size after decode=737280 bytes, type=P, timestamp=8.920 seconds
frame #260: size before decode=2425 bytes, size after decode=737280 bytes, type=P, timestamp=8.960 seconds
frame #261: size before decode=468 bytes, size after decode=737280 bytes, type=P, timestamp=9.000 seconds
frame #262: size before decode=2390 bytes, size after decode=737280 bytes, type=P, timestamp=9.040 seconds
frame #263: size before decode=2221 bytes, size after decode=737280 bytes, type=P, timestamp=9.080 seconds
frame #264: size before decode=2298 bytes, size after decode=737280 bytes, type=P, timestamp=9.120 seconds
frame #265: size before decode=2254 bytes, size after decode=737280 bytes, type=P, timestamp=9.160 seconds
frame #266: size before decode=2240 bytes, size after decode=737280 bytes, type=P, timestamp=9.200 seconds
frame #267: size before decode=1948 bytes, size after decode=737280 bytes, type=P, timestamp=9.240 seconds
frame #268: size before decode=1908 bytes, size after decode=737280 bytes, type=P, timestamp=9.280 seconds
frame #269: size before decode=1718 bytes, size after decode=737280 bytes, type=P, timestamp=9.320 seconds
frame #270: size before decode=1667 bytes, size after decode=737280 bytes, type=P, timestamp=9.360 seconds
frame #271: size before decode=1500 bytes, size after decode=737280 bytes, type=P, timestamp=9.400 seconds
frame #272: size before decode=1571 bytes, size after decode=737280 bytes, type=P, timestamp=9.440 seconds
frame #273: size before decode=1332 bytes, size after decode=737280 bytes, type=P, timestamp=9.480 seconds
frame #274: size before decode=1253 bytes, size after decode=737280 bytes, type=P, timestamp=9.520 seconds
frame #275: size before decode=1140 bytes, size after decode=737280 bytes, type=P, timestamp=9.560 seconds
frame #276: size before decode=1148 bytes, size after decode=737280 bytes, type=P, timestamp=9.600 seconds
frame #277: size before decode=1027 bytes, size after decode=737280 bytes, type=P, timestamp=9.640 seconds
frame #278: size before decode=1151 bytes, size after decode=737280 bytes, type=P, timestamp=9.680 seconds
frame #279: size before decode=1152 bytes, size after decode=737280 bytes, type=P, timestamp=9.720 seconds
frame #280: size before decode=1083 bytes, size after decode=737280 bytes, type=P, timestamp=9.760 seconds
frame #281: size before decode=1080 bytes, size after decode=737280 bytes, type=P, timestamp=9.800 seconds
frame #282: size before decode=1058 bytes, size after decode=737280 bytes, type=P, timestamp=9.840 seconds
frame #283: size before decode=1254 bytes, size after decode=737280 bytes, type=P, timestamp=9.880 seconds
frame #284: size before decode=1425 bytes, size after decode=737280 bytes, type=P, timestamp=9.920 seconds
frame #285: size before decode=1615 bytes, size after decode=737280 bytes, type=P, timestamp=9.960 seconds
frame #286: size before decode=411 bytes, size after decode=737280 bytes, type=P, timestamp=10.000 seconds
frame #287: size before decode=1678 bytes, size after decode=737280 bytes, type=P, timestamp=10.040 seconds
frame #288: size before decode=1677 bytes, size after decode=737280 bytes, type=P, timestamp=10.080 seconds
frame #289: size before decode=1563 bytes, size after decode=737280 bytes, type=P, timestamp=10.120 seconds
frame #290: size before decode=1609 bytes, size after decode=737280 bytes, type=P, timestamp=10.160 seconds
frame #291: size before decode=1622 bytes, size after decode=737280 bytes, type=P, timestamp=10.200 seconds
frame #292: size before decode=1666 bytes, size after decode=737280 bytes, type=P, timestamp=10.240 seconds
frame #293: size before decode=1645 bytes, size after decode=737280 bytes, type=P, timestamp=10.280 seconds
frame #294: size before decode=1723 bytes, size after decode=737280 bytes, type=P, timestamp=10.320 seconds
frame #295: size before decode=1776 bytes, size after decode=737280 bytes, type=P, timestamp=10.360 seconds
